date,author,num_commits,num_lines_added,num_lines_removed
2022-04-06,Pablo Rosado,1,26,25
2022-04-11,Mojmir Vinkler,2,210,48
2022-04-12,GitHub Action,2,2,2
2022-04-12,Marcel Gerber,1,0,7
2022-04-12,Pablo Rosado,3,10,8
2022-04-13,Pablo Rosado,1,1,1
2022-04-19,Marigold,1,58,18
2022-04-25,Mojmir Vinkler,1,126,390
2022-04-26,GitHub Action,3,4,4
2022-04-26,Mojmir Vinkler,2,96,80
2022-04-26,Pablo Rosado,1,127,0
2022-04-27,GitHub Action,1,1,1
2022-04-27,Pablo Rosado,2,89,5
2022-04-28,Mojmir Vinkler,1,53,7
2022-04-28,Pablo Rosado,3,106,12
2022-04-29,GitHub Action,1,1,1
2022-04-29,Pablo Rosado,1,18,1
2022-05-02,GitHub Action,1,1,1
2022-05-02,Mojmir Vinkler,1,23,11
2022-05-02,Pablo Rosado,1,15,3
2022-05-03,GitHub Action,1,1,1
2022-05-03,Mojmir Vinkler,1,119,913
2022-05-03,Pablo Rosado,6,297,108
2022-05-04,Mojmir Vinkler,2,254,127
2022-05-04,Pablo Rosado,2,370,247
2022-05-05,Pablo Rosado,7,593,270
2022-05-06,Pablo Rosado,18,2221,242
2022-05-09,Pablo Rosado,8,496,167
2022-05-11,Mojmir Vinkler,1,35,3
2022-05-11,Pablo Rosado,4,151,139
2022-05-12,Lars Yencken,1,7,2
2022-05-12,Mojmir Vinkler,1,34,22
2022-05-13,Pablo Rosado,6,1000,923
2022-05-16,Pablo Rosado,3,149,60
2022-05-17,Pablo Rosado,1,57,101
2022-05-18,GitHub Action,1,2,2
2022-05-18,Pablo Rosado,7,346,1210
2022-05-20,GitHub Action,1,1,1
2022-05-20,Pablo Rosado,9,495,167
2022-05-23,Pablo Rosado,4,1108,873
2022-05-24,Billy Cox,1,250,224
2022-05-25,GitHub Action,1,1,1
2022-05-25,Pablo Rosado,3,228,222
2022-05-26,Mojmir Vinkler,2,398,184
2022-05-27,Billy Cox,1,36,6
2022-05-27,GitHub Action,4,5,5
2022-05-27,Pablo Rosado,2,94,41
2022-05-28,GitHub Action,2,2,2
2022-05-31,Pablo Rosado,4,1799,215
2022-06-01,Pablo Rosado,4,263,141
2022-06-02,Pablo Rosado,3,317,361
2022-06-03,Bobbie Macdonald,5,2721,23
2022-06-03,GitHub Action,2,3,3
2022-06-03,Pablo Rosado,3,545,1250
2022-06-06,Bobbie Macdonald,1,0,5
2022-06-06,Marigold,1,107,27
2022-06-06,Mojmir Vinkler,1,2,1
2022-06-06,Pablo Rosado,3,275,17
2022-06-07,GitHub Action,2,3,3
2022-06-07,Pablo Rosado,6,85,38
2022-06-08,Bobbie Macdonald,2,2,2
2022-06-08,Marigold,2,23,16
2022-06-08,Mojmir Vinkler,1,6,4
2022-06-08,Pablo Rosado,2,75,15
2022-06-09,GitHub Action,3,3,3
2022-06-09,Mojmir Vinkler,1,9,3
2022-06-09,Pablo Rosado,3,138,59
2022-06-10,GitHub Action,2,2,2
2022-06-13,Pablo Rosado,5,170,130
2022-06-14,Pablo Rosado,6,539,576
2022-06-15,GitHub Action,1,1,1
2022-06-15,Mojmir Vinkler,2,682,12
2022-06-15,Pablo Rosado,4,206,43
2022-06-16,Billy Cox,1,14,5
2022-06-16,GitHub Action,4,4,4
2022-06-16,Mojmir Vinkler,1,11,2
2022-06-16,Pablo Rosado,2,70,88
2022-06-17,Billy Cox,1,36,15
2022-06-17,GitHub Action,2,2,2
2022-06-17,Mojmir Vinkler,2,256,34
2022-06-17,Pablo Rosado,1,1,1
2022-06-17,lucasrodes,7,75,105
2022-06-20,GitHub Action,4,5,5
2022-06-20,Mojmir Vinkler,1,22,30
2022-06-20,Pablo Rosado,5,287,170
2022-06-21,GitHub Action,5,5,5
2022-06-21,Marigold,1,55,29
2022-06-21,Mojmir Vinkler,2,49,56
2022-06-21,Pablo Rosado,7,173,111
2022-06-22,GitHub Action,5,5,5
2022-06-22,Marigold,2,88,77
2022-06-22,Pablo Rosado,2,63,50
2022-06-22,lucasrodes,1,3,2
2022-06-23,Billy Cox,1,71,96
2022-06-23,GitHub Action,8,8,8
2022-06-23,Marigold,2,1516,2643
2022-06-23,Pablo Rosado,7,239,231
2022-06-23,William Cox,2,48,48
2022-06-24,GitHub Action,4,4,4
2022-06-24,Lars Yencken,1,8,0
2022-06-24,Pablo Rosado,5,692,776
2022-06-25,GitHub Action,4,4,4
2022-06-26,GitHub Action,4,4,4
2022-06-27,Billy Cox,1,45,26
2022-06-27,GitHub Action,8,8,8
2022-06-27,Pablo Rosado,2,48,42
