date,author,num_commits,num_lines_added,num_lines_removed
2016-03-07,Jaiden Mispy,2,91,46
2016-03-08,Jaiden Mispy,3,404,114
2016-03-09,Jaiden Mispy,11,312,88
2016-03-10,Jaiden Mispy,6,810,13738
2016-03-11,Jaiden Mispy,6,144,30
2016-03-12,Jaiden Mispy,3,74,48
2016-03-16,Jaiden Mispy,7,73,28
2016-03-17,Jaiden Mispy,1,22,9
2016-03-18,Jaiden Mispy,11,251,207
2016-03-21,Jaiden Mispy,6,1704,1196
2016-03-22,Jaiden Mispy,14,1175,1125
2016-03-23,Jaiden Mispy,5,262,574
2016-03-25,Jaiden Mispy,5,256,675
2016-03-26,Jaiden Mispy,3,75,128
2016-03-29,Jaiden Mispy,1,52,0
2016-03-30,Jaiden Mispy,3,191,115
2016-03-31,Jaiden Mispy,7,677,524
2016-04-01,Jaiden Mispy,8,360,483
2016-04-03,Jaiden Mispy,1,2,2
2016-04-05,Jaiden Mispy,1,96,106
2016-04-06,Jaiden Mispy,7,1885,444
2016-04-07,Jaiden Mispy,1,4,2
2016-04-08,Jaiden Mispy,3,11,17
2016-04-09,Jaiden Mispy,1,12,8
2016-04-13,Jaiden Mispy,1,27,13
2016-04-15,Jaiden Mispy,1,1,1
2016-04-17,Jaiden Mispy,1,174,75
2016-04-20,Jaiden Mispy,3,11,11
2016-04-21,Jaiden Mispy,2,8,1
2016-04-23,Jaiden Mispy,2,15,1
2016-04-25,Jaiden Mispy,8,242,83
2016-04-27,Jaiden Mispy,5,45,15
2016-04-28,Jaiden Mispy,5,137,77
2016-04-29,Jaiden Mispy,2,42,18
2016-05-01,Jaiden Mispy,3,24,4
2016-05-02,Jaiden Mispy,6,284,1745
2016-05-03,Jaiden Mispy,1,1,0
2016-05-04,Jaiden Mispy,14,876,117
2016-05-08,Jaiden Mispy,4,119,435
2016-05-10,Jaiden Mispy,2,57,21
2016-05-11,Jaiden Mispy,2,29,19
2016-05-17,Jaiden Mispy,10,68247,7669
2016-05-18,Jaiden Mispy,2,18,141
2016-05-19,Jaiden Mispy,4,134,76
2016-05-20,Jaiden Mispy,3,212,161
2016-05-21,Jaiden Mispy,3,277,168
2016-05-24,Jaiden Mispy,6,593,726
2016-05-25,Jaiden Mispy,4,413,763
2016-05-26,Jaiden Mispy,21,325,338
2016-05-27,Jaiden Mispy,5,40,12
2016-05-28,Jaiden Mispy,3,138,135
2016-05-29,Jaiden Mispy,4,57,149
2016-05-31,Jaiden Mispy,5,96,91
2016-06-02,Jaiden Mispy,10,345,470
2016-06-03,Jaiden Mispy,8,220,169
2016-06-06,Jaiden Mispy,28,453,34737
